3
PIR,TIN|Buah
KUE,SUP|Makanan
JPG,PNG|Format foto
AIR,API,UAP|Elemen
PPT,PDF|Format dokumen
DPR,DPD,MPR|Lembaga pemerintah
INI,ITU|Kata tunjuk
KTP,SIM|Surat penting
SUV,MPV|Jenis mobil
TAS,JAM|Aksesoris
SMA,SMP|Tingkat pendidikan

4
TANG,PALU,PAKU,BAUT|Perkakas
BATU,KAYU,BESI|Keras
MATA,PIPI,ALIS|Wajah
KUKU,JARI,SIKU|Tangan
ATAP,AWAN|Di atas
ANAK,BAYI|Kecil
JUS,KOPI,TEH,SUSU|Minuman
SATU,ENAM,DUA,LIMA|Angka
AWAN,KAPAS,SUSU|Putih
UANG,EMAS|Berharga
TUA,MUDA|Usia
WIT.WIB,WITA|Waktu indonesia

5
BADAI,PETIR|Cuaca buruk
SEPI,SUNYI,GELAP|Malam
BAIK,RAMAH,JAHAT,BURUK|Sifat
SASAK,DAYAK,BATAK,BUGIS,SUNDA|Suku
LARI,SENAM,YOGA|Olahraga
IBU,AYAH,KAKAK,ADIK,KAKEK|Keluarga
PISAU,PANCI,WAJAN,GARPU|Di dapur
MANIS,PAHIT,ASIN,ASAM|Rasa
HIU,PAUS,PARI,TERI|Ikan ...
GIGI,LIDAH,BIBIR|Mulut
ARAB,MESIR,INDIA,CHINA,KOREA|Negara
TUMIT,PAHA,BETIS|Kaki
CABAI,API,DARAH|Berwarna merah
SUTRA,KATUN,LINEN,DENIM|Jenis kain
DRUM,GITAR,PIANO,BIOLA|Alat musik
TITIK,KOMA,PETIK|Tanda baca
LILIN,KUE,PESTA|Ulang tahun
JAM,MENIT,DETIK|Waktu
LEMBUT,KASAR,LUNAK|Tekstur
SOLAR,BENSIN,AVTUR|Bahan bakar
COBRA,PITON,SANCA|Ular ...

6
PRIA,WANITA|Jenis kelamin
BEBEK,AYAM,ANGSA,ITIK,BURUNG|Unggas
MEJA,KURSI,BANGKU|Dudukan
GUNUNG,PANTAI,TAMAN,CANDI|Wisata
MARAH,CERIA,SENANG,SEDIH,KAGET|Suasana
SENIN,SELASA,RABU,KAMIS,JUMAT,SABTU|Hari
GEREJA,MASJID,WIHARA,PURA|Tempat ibadah
TIANG,POHON,BAMBU,MENARA|Tinggi
BESAR,KECIL,SEDANG,MIKRO|Ukuran
PENSIL,TAS,SEPATU,BEKAL|Dibawa ke sekolah
SHAMPO,SABUN,SHOWER,GAYUNG|Alat mandi
JAGUNG,NASI,KENTANG,UBI|Makanan pokok
BACA,TULIS,HITUNG,HAFAL,JAWAB|Belajar
PUSING,DEMAM,DIARE,SARIAWAN,GATAL|Sakit ringan
BIRU,HIJAU,MERAH,UNGU,KUNING|Warna
DOLLAR,RUPIAH,YEN,EURO,POUND,RINGGIT|Mata uang
MASKER,VAKSIN,OBAT,DOKTER|Kesehatan
CELANA,BAJU,ROK,JAS,JAKET|Pakaian
VOLI,TENIS,BASKET,BEKEL|Bola ...
LURUS,KRIBO,PIRANG,IKAL|Jenis rambut
PIALA,JUARA,MEDALI,FINISH|Menang
TOMAT,CABE,TERONG,SAWI,KOL|Sayuran
PANAS,OBOR,KOMPOR,LILIN|Api
GAGAK,MERPATI,BEO,ELANG,NURI|Burung ...
SOFA,KARPET,MEJA,KURSI|Ruang tamu
PESIAR,FERI,KARGO,TANKER|Kapal ...
SUNGAI,GALON,KRAN|Air ...
PEPAYA,NANAS,TIMUN,JAMBU,MANGGA|Rujak Buah
HAKIM,SIDANG,SAKSI,BUKTI,JAKSA|Pengadilan
GADANG,BOLON,MANDAR,LIMAS,BETANG|Rumah adat
JAZZ,ROCK,KLASIK,POP|Genre musik
ROBOT,YOYO,BONEKA,LEGO|Mainan
SEMI,GUGUR,PANAS,DINGIN|Musim
TERJUN,MATAAIR,HUJAN,SUMUR|Jenis air
KUNGFU,KARATE,SILAT,SUMO|Bela diri

7
RODA,KNALPOT,STANG|Bagian motor
LONCENG,BEL,ALARM|Berdering
SAMAN,KECAK,PIRING,JAIPONG,PAYUNG|Tarian khas
TRUK,BAJAI,TRAKTOR,|Roda empat
PANGAN,SANDANG,PAPAN|Kebutuhan pokok
CANGKIR,GELAS,EMBER|Wadah air
SATPAM,POLISI,TENTARA|Petugas keamanan
TIPIS,PANJANG,LEBAT|Sifat rambut
